nombre	inicio	final	longitud	producto
dnaA	517	1878	1361	chromosomal replication initiator protein DnaA
dnaN	2156	3289	1133	DNA polymerase III, beta chain
SAR0003	3670	3915	245	conserved hypothetical protein
recF	3912	5024	1112	DNA replication and repair protein RecF
gyrB	5037	6968	1931	DNA gyrase subunit B
gyrA	7005	9665	2660	DNA gyrase subunit A
SAR0007	9753	10583	830	conserved hypothetical protein
hutH	10891	12405	1514	putative histidine ammonia-lyase
serS	12783	14069	1286	seryl-tRNA synthetase
SAR0010	14713	15408	695	putative membrane protein
SAR0011	15405	15734	329	putative membrane protein
SAR0012	16096	17064	968	putative hydrolase
SAR0013	17309	18295	986	putative membrane protein
SAR0014	18310	20277	1967	putative membrane protein
rplI	20274	20720	446	50S ribosomal protein L9
dnaC	20752	22152	1400	DnaB-like helicase
purA	22430	23713	1283	putative adenylosuccinate synthetase
yycF	24897	25604	707	response regulator protein
yycG	25617	27443	1826	sensor kinase protein
yycH	27436	28770	1334	putative exported protein
yycI	28771	29559	788	putative exported protein
yycJ	29947	30747	800	metallo-beta-lactamase superfamily protein
sasH	30932	33292	2360	putative 5'-nucleotidase
SAR0024	33660	34139	479	conserved hypothetical protein
SAR0025	34422	35717	1295	hypothetical protein
SAR0026	36132	36371	239	hypothetical protein
SAR0027	36403	37077	674	putative transposase
repB	37168	37377	209	replication protein (pseudogene)
pre	38197	38373	176	hypothetical protein
SAR0031a	38396	39658	1262	plasmid recombination enzyme
SAR0031b	39767	39907	140	hypothetical protein
ble	39973	40146	173	hypothetical protein
knt	40165	40569	404	bleomycin resistance protein
SAR0034	40786	41556	770	kanamycin nucleotidyltransferase
SAR0036	41749	42423	674	putative transposase
ugpQ	42681	42848	167	HMG-CoA synthase (fragment)
SAR0038	42946	43155	209	putative membrane protein
mecA	43605	44348	743	glycerophosphoryl diester phosphodiesterase
mecR1	44445	44873	428	conserved hypothetical protein
mecI	44919	46925	2006	penicillin-binding protein 2 prime
SAR0042	47025	48782	1757	methicillin resistance protein MecR1
xylR	48782	49126	344	methicillin resistance regulatory protein MecI
SAR0047	49263	49466	203	hypothetical protein
SAR0049	49626	50770	1144	xylose repressor (pseudogene)
ermA1	50884	51279	395	metallo-beta-lactamase superfamily protein
spc1	52251	53315	1064	hypothetical protein
tnpC1	53445	53711	266	conserved hypothetical protein
tnpB1	53711	54355	644	putative membrane protein (fragment)
tnpA1	54694	55356	662	hypothetical protein
SAR0056	55890	56621	731	rRNA adenine N-6-methyltransferase 1
SAR0057	56747	57529	782	streptomycin 3''-adenylyltransferase 1
SAR0058	57680	58057	377	transposase C 1
ccrB	58064	59956	1892	transposase B 1
ccrA	59953	61038	1085	transposase A 1
SAR0061	61157	61474	317	DNA repair protein RadC (fragment)
SAR0062	61495	62001	506	conserved hypothetical protein
SAR0063	62019	62330	311	hypothetical protein
SAR0066	62417	62767	350	hypothetical protein
kdpE	63285	64913	1628	site-specific recombinase
SAR0069	64935	66284	1349	site-specific recombinase
SAR0070	66518	68311	1793	putative membrane protein
SAR0071	68311	68607	296	hypothetical protein
SAR0074	68800	69846	1046	hypothetical protein
SAR0075	70097	70585	488	putative transposase (pseudogene)
SAR0075a	70924	71238	314	putative transposase
SAR0076	71749	72651	902	putative membrane protein (fragment)
SAR0077	73397	74092	695	response regulator protein
SAR0078	74067	76787	2720	sensor kinase protein
SAR0079	77004	78680	1676	potassium-transporting ATPase A chain
SAR0080	78699	80720	2021	potassium-transporting ATPase B chain
SAR0081	80736	81292	556	potassium-transporting ATPase C chain
SAR0082	81837	82706	869	hypothetical protein
SAR0084	82716	83612	896	hypothetical protein
SAR0085	83654	83779	125	hypothetical protein
SAR0086	83812	84249	437	hypothetical protein
SAR0087	84354	84641	287	putative membrane protein
SAR0088	84731	85357	626	hypothetical protein
SAR0089	85472	86980	1508	putative protein kinase
SAR0090	87145	89265	2120	hypothetical protein
SAR0091	89496	89795	299	transposase
SAR0092	89837	90643	806	transposase
SAR0093	90670	90831	161	hypothetical protein (fragment)
SAR0094	90831	91346	515	hypothetical protein
SAR0097	91351	92298	947	putative transposase
SAR0098	92484	92858	374	hypothetical protein
SAR0099	93145	94848	1703	putative restriction enzyme
SAR0100	94841	95881	1040	putative restriction enzyme modulator protein
SAR0101	96110	96208	98	hypothetical protein
SAR0102	96312	96470	158	hypothetical protein
SAR0103	96778	96909	131	putative insertion sequence protein
SAR0104	97309	98280	971	putative hydratase
plc	98333	98704	371	putative membrane protein
SAR0106	98724	100085	1361	putative transporter protein
SAR0107	100243	101055	812	putative acetyltransferase (pseudogene)
SAR0108	101081	101656	575	putative DNA-binding protein
SAR0109	102126	102599	473	acetyltransferase (GNAT) family protein
SAR0110	102706	103692	986	conserved hypothetical protein
SAR0111	104041	104202	161	putative membrane protein
SAR0112	104251	104547	296	hypothetical protein
lldP1	104746	105357	611	putative membrane protein
spa	105625	108777	3152	hypothetical protein
SAR0115	108860	109342	482	putative membrane protein
sirC	109547	110533	986	1-phosphatidylinositol phosphodiesterase
sirB	110754	111524	770	putative lipoprotein
sirA	111618	113855	2237	putative regulatory protein
SAR0119	114006	115184	1178	putative peptidase
SAR0120	115186	116574	1388	putative transporter protein
SAR0121	117060	118727	1667	putative Na+/Pi-cotransporter protein
SAR0122	119046	120821	1775	putative myosin-crossreactive antigen
SAR0123	121172	121645	473	putative membrane protein
SAR0124	121907	123499	1592	L-lactate permease 1
SAR0125	123828	125378	1550	immunoglobulin G binding protein A precursor
SAR0126	125799	126551	752	putative regulatory protein
SAR0127	126920	127918	998	putative siderophore transport system permease
SAR0128	127915	128910	995	putative siderophore transport system permease
SAR0129	128926	129918	992	lipoprotein
SAR0130a	130149	131129	980	pyridoxal-phosphate dependent enzyme
SAR0130	131126	132136	1010	putative ornithine cyclodeaminase
SAR0131	132157	133911	1754	putative siderophore biosynthesis protein
SAR0132	133904	135160	1256	putative transport protein
SAR0133	135150	136886	1736	putative siderophore biosynthesis protein
SAR0134	136867	138645	1778	putative siderophore biosynthesis protein
sodM	138620	139396	776	putative aldolase
sasD	139396	140598	1202	pyridoxal-dependent decarboxylase decarboxylase
SAR0137	140602	141366	764	hypothetical protein
deoD1	141562	142188	626	putative membrane protein
SAR0139	142399	143175	776	putative short chain dehydrogenase
deoC1	143224	143337	113	hypothetical protein
drm	143519	144490	971	NAD dependent epimerase/dehydratase family
SAR0142	144453	145142	689	putative sugar transferase
SAR0143	145352	146518	1166	galactosyl transferase
SAR0144	146499	147737	1238	putative membrane protein
SAR0145	147727	149157	1430	polysaccharide biosynthesis protein
SAR0146	149425	150024	599	superoxide dismutase
SAR0147	150393	151058	665	putative surface anchored protein
SAR0148	151160	151900	740	GntR family regulatory protein
SAR0149	152151	152858	707	putative purine nucleoside phosphorylase
adhE	152865	154217	1352	putative transport system protein
capA	154298	154960	662	deoxyribose-phosphate aldolase
capB	154988	156166	1178	putative phosphopentomutase
capC	156297	157112	815	binding-protein-dependent transport systems
capD	157109	157909	800	binding-protein-dependent transport system
capE	157911	158684	773	putative ABC transport ATP-binding protein
capF	158898	159854	956	putative lipoprotein
capG	160083	161627	1544	putative exported protein
cap8H	161678	163213	1535	putative nucleotidase
cap8I	163370	164137	767	hypothetical protein
cap8J	164143	165318	1175	putative DNA-binding protein
cap8K	165704	168313	2609	putative aldehyde-alcohol dehydrogenase
capL	168658	169326	668	capsular polysaccharide synthesis enzyme
capM	169342	170028	686	capsular polysaccharide synthesis enzyme
capN	170031	170795	764	capsular polysaccharide synthesis enzyme
capO	170815	172638	1823	capsular polysaccharide synthesis enzyme
capP	172628	173656	1028	capsular polysaccharide synthesis enzyme
